"","stdrYm","cntrbtrSeccd","cntrCo","cntrbtrCo"
"244","201601","01","8","1"
"245","201601","01","31","1"
"246","201601","01","34","1"
"247","201601","01","14","1"
"248","201601","01","16","1"
"249","201601","01","20","1"
"250","201601","01","19","1"
"251","201601","01","6","1"
"252","201601","01","2","1"
"253","201601","01","20","1"
"254","201601","01","27","1"
"255","201601","01","25","1"
"256","201601","03","1","1"
"257","201601","02","2","1"
"258","201601","02","2","1"
"259","201601","02","3","1"
"260","201601","02","3","1"
"261","201601","02","28","1"
"262","201601","02","16","1"
"263","201601","02","5","1"
"264","201601","02","14","1"
"265","201601","02","11","1"
"266","201601","02","6","1"
"267","201601","02","3","1"
"268","201601","02","15","1"
"269","201601","02","7","1"
"270","201601","02","5","1"
"271","201601","01","4","1"
"272","201601","01","13","1"
"273","201601","01","12","1"
"274","201601","01","17","1"
"275","201601","01","12","1"
"276","201601","01","25","1"
"277","201601","01","3","1"
"278","201601","01","9","1"
"279","201601","01","7","1"
"280","201601","01","16","1"
"281","201601","01","14","1"
"282","201601","01","1","1"
"283","201601","01","1","1"
"284","201601","01","6","1"
"285","201601","01","3","1"
"286","201601","01","3","1"
"287","201601","01","10","1"
"288","201601","01","4","1"
"289","201601","01","7","1"
"290","201601","01","11","1"
"291","201601","01","4","1"
"292","201601","02","16","1"
"293","201601","02","5","1"
"294","201601","02","8","1"
"295","201601","02","11","1"
"296","201601","02","4","1"
"297","201601","01","2","1"
"298","201601","01","2","1"
"299","201601","01","4","1"
"300","201601","01","1","1"
"301","201601","01","1","1"
"302","201601","01","1","1"
"303","201601","01","4","1"
"304","201601","01","1","1"
"305","201601","01","1","1"
"306","201601","01","1","1"
"307","201601","01","1","1"
"308","201601","01","1","1"
"309","201601","01","1","1"
"310","201601","01","1","1"
"311","201601","01","1","1"
"312","201601","01","1","1"
"313","201601","01","1","1"
"314","201601","01","1","1"
"315","201601","01","4","1"
"316","201601","01","20","1"
"317","201601","01","17","1"
"318","201601","01","20","1"
"319","201601","01","16","1"
"320","201601","01","14","1"
"321","201601","01","16","1"
"322","201601","01","16","1"
"323","201601","01","16","1"
"324","201601","01","17","1"
"325","201601","01","4","1"
"326","201601","01","5","1"
"327","201601","01","8","1"
"328","201601","01","18","1"
"329","201601","01","4","1"
"330","201601","01","6","1"
"331","201601","01","4","1"
"332","201601","01","8","1"
"333","201601","01","13","1"
"334","201601","01","17","1"
"335","201601","01","7","1"
"336","201601","01","18","1"
"337","201601","01","9","1"
"338","201601","01","4","1"
"339","201601","01","4","1"
"340","201601","01","2","1"
"341","201601","01","8","1"
"342","201601","01","4","1"
"343","201601","01","20","1"
"344","201601","01","18","1"
"345","201601","01","20","1"
"346","201601","01","1","1"
"347","201601","01","20","1"
"348","201601","03","1","1"
"349","201601","03","33","2"
"350","201601","03","48","10"
"351","201601","02","1","1"
"352","201601","02","20","1"
"353","201601","01","1","1"
"354","201601","01","8","1"
"355","201601","01","20","1"
"356","201601","01","12","1"
"357","201601","01","6","1"
